Reference area,TIME_PERIOD,OBS_VALUE
Slovenia,Apr-95,99.54401
Slovenia,May-95,99.11507
Slovenia,Jun-95,98.22873
Slovenia,Jul-95,97.57511
Slovenia,Aug-95,97.47718
Slovenia,Sep-95,97.76038
Slovenia,Oct-95,97.89952
Slovenia,Nov-95,97.76464
Slovenia,Dec-95,97.48182
Slovenia,Jan-96,97.34759
Slovenia,Feb-96,97.05823
Slovenia,Mar-96,96.79951
Slovenia,Apr-96,96.60504
Slovenia,May-96,96.566
Slovenia,Jun-96,96.41306
Slovenia,Jul-96,96.33946
Slovenia,Aug-96,96.83547
Slovenia,Sep-96,97.83094
Slovenia,Oct-96,98.86078
Slovenia,Nov-96,99.44157
Slovenia,Dec-96,99.5852
Slovenia,Jan-97,99.7326
Slovenia,Feb-97,100.0221
Slovenia,Mar-97,100.1176
Slovenia,Apr-97,100.0459
Slovenia,May-97,99.70919
Slovenia,Jun-97,99.32465
Slovenia,Jul-97,99.27071
Slovenia,Aug-97,99.63879
Slovenia,Sep-97,100.3117
Slovenia,Oct-97,101.1345
Slovenia,Nov-97,101.6584
Slovenia,Dec-97,101.7383
Slovenia,Jan-98,101.1813
Slovenia,Feb-98,100.5234
Slovenia,Mar-98,100.0436
Slovenia,Apr-98,99.73582
Slovenia,May-98,99.66573
Slovenia,Jun-98,99.61737
Slovenia,Jul-98,99.92267
Slovenia,Aug-98,99.86826
Slovenia,Sep-98,99.10522
Slovenia,Oct-98,98.16902
Slovenia,Nov-98,97.47845
Slovenia,Dec-98,97.04689
Slovenia,Jan-99,96.78084
Slovenia,Feb-99,96.27446
Slovenia,Mar-99,96.17815
Slovenia,Apr-99,96.64692
Slovenia,May-99,97.26515
Slovenia,Jun-99,98.21939
Slovenia,Jul-99,99.21459
Slovenia,Aug-99,99.79391
Slovenia,Sep-99,100.0095
Slovenia,Oct-99,100.1862
Slovenia,Nov-99,100.2651
Slovenia,Dec-99,100.3858
Slovenia,Jan-00,100.5143
Slovenia,Feb-00,100.9833
Slovenia,Mar-00,101.7757
Slovenia,Apr-00,102.5213
Slovenia,May-00,103.0515
Slovenia,Jun-00,103.1445
Slovenia,Jul-00,102.5823
Slovenia,Aug-00,101.8911
Slovenia,Sep-00,101.4827
Slovenia,Oct-00,101.3652
Slovenia,Nov-00,101.3068
Slovenia,Dec-00,101.4673
Slovenia,Jan-01,101.5017
Slovenia,Feb-01,101.2566
Slovenia,Mar-01,100.8097
Slovenia,Apr-01,100.2737
Slovenia,May-01,99.82691
Slovenia,Jun-01,99.58721
Slovenia,Jul-01,99.34887
Slovenia,Aug-01,98.969
Slovenia,Sep-01,98.53246
Slovenia,Oct-01,98.16821
Slovenia,Nov-01,98.11829
Slovenia,Dec-01,98.29368
Slovenia,Jan-02,98.6181
Slovenia,Feb-02,98.95071
Slovenia,Mar-02,99.10461
Slovenia,Apr-02,99.29832
Slovenia,May-02,99.46284
Slovenia,Jun-02,99.39095
Slovenia,Jul-02,99.2097
Slovenia,Aug-02,99.18279
Slovenia,Sep-02,99.30379
Slovenia,Oct-02,99.66615
Slovenia,Nov-02,99.99904
Slovenia,Dec-02,100.1136
Slovenia,Jan-03,99.93771
Slovenia,Feb-03,99.44993
Slovenia,Mar-03,98.65989
Slovenia,Apr-03,97.97337
Slovenia,May-03,97.78186
Slovenia,Jun-03,98.02202
Slovenia,Jul-03,98.61225
Slovenia,Aug-03,99.2615
Slovenia,Sep-03,99.85905
Slovenia,Oct-03,100.1193
Slovenia,Nov-03,100.2582
Slovenia,Dec-03,100.194
Slovenia,Jan-04,100.0454
Slovenia,Feb-04,99.9996
Slovenia,Mar-04,100.2406
Slovenia,Apr-04,100.5784
Slovenia,May-04,100.6735
Slovenia,Jun-04,100.7771
Slovenia,Jul-04,101.0234
Slovenia,Aug-04,101.3753
Slovenia,Sep-04,101.5247
Slovenia,Oct-04,101.3986
Slovenia,Nov-04,101.0092
Slovenia,Dec-04,100.5316
Slovenia,Jan-05,100.1536
Slovenia,Feb-05,99.84286
Slovenia,Mar-05,99.67625
Slovenia,Apr-05,99.46432
Slovenia,May-05,99.48147
Slovenia,Jun-05,99.59986
Slovenia,Jul-05,99.83582
Slovenia,Aug-05,100.2804
Slovenia,Sep-05,100.6429
Slovenia,Oct-05,101.0068
Slovenia,Nov-05,101.3207
Slovenia,Dec-05,101.7194
Slovenia,Jan-06,102.1132
Slovenia,Feb-06,102.1802
Slovenia,Mar-06,102.2963
Slovenia,Apr-06,102.3897
Slovenia,May-06,102.5108
Slovenia,Jun-06,103.0086
Slovenia,Jul-06,103.2823
Slovenia,Aug-06,103.5129
Slovenia,Sep-06,103.7533
Slovenia,Oct-06,103.7946
Slovenia,Nov-06,103.784
Slovenia,Dec-06,103.7178
Slovenia,Jan-07,103.648
Slovenia,Feb-07,103.6502
Slovenia,Mar-07,103.6001
Slovenia,Apr-07,103.6113
Slovenia,May-07,103.67
Slovenia,Jun-07,103.6227
Slovenia,Jul-07,103.4616
Slovenia,Aug-07,103.0769
Slovenia,Sep-07,102.7373
Slovenia,Oct-07,102.5918
Slovenia,Nov-07,102.5446
Slovenia,Dec-07,102.4978
Slovenia,Jan-08,102.2526
Slovenia,Feb-08,101.9224
Slovenia,Mar-08,101.6402
Slovenia,Apr-08,101.2508
Slovenia,May-08,100.6428
Slovenia,Jun-08,100.1862
Slovenia,Jul-08,99.87112
Slovenia,Aug-08,99.20045
Slovenia,Sep-08,97.87263
Slovenia,Oct-08,95.76622
Slovenia,Nov-08,93.70425
Slovenia,Dec-08,92.25308
Slovenia,Jan-09,91.53033
Slovenia,Feb-09,91.50452
Slovenia,Mar-09,91.68885
Slovenia,Apr-09,92.22054
Slovenia,May-09,93.08839
Slovenia,Jun-09,94.04224
Slovenia,Jul-09,94.8765
Slovenia,Aug-09,95.84839
Slovenia,Sep-09,96.79466
Slovenia,Oct-09,97.33572
Slovenia,Nov-09,97.8159
Slovenia,Dec-09,98.22336
Slovenia,Jan-10,98.66547
Slovenia,Feb-10,99.08384
Slovenia,Mar-10,99.64515
Slovenia,Apr-10,100.1759
Slovenia,May-10,100.5319
Slovenia,Jun-10,100.7785
Slovenia,Jul-10,100.9564
Slovenia,Aug-10,100.9581
Slovenia,Sep-10,101.0117
Slovenia,Oct-10,101.0166
Slovenia,Nov-10,100.7609
Slovenia,Dec-10,100.6746
Slovenia,Jan-11,100.9102
Slovenia,Feb-11,101.1102
Slovenia,Mar-11,101.2252
Slovenia,Apr-11,101.289
Slovenia,May-11,101.0834
Slovenia,Jun-11,100.7113
Slovenia,Jul-11,100.3858
Slovenia,Aug-11,100.0919
Slovenia,Sep-11,99.71574
Slovenia,Oct-11,99.26543
Slovenia,Nov-11,99.07527
Slovenia,Dec-11,99.08029
Slovenia,Jan-12,99.12881
Slovenia,Feb-12,98.83047
Slovenia,Mar-12,98.34069
Slovenia,Apr-12,97.97303
Slovenia,May-12,97.68441
Slovenia,Jun-12,97.36933
Slovenia,Jul-12,97.14845
Slovenia,Aug-12,96.94865
Slovenia,Sep-12,96.89545
Slovenia,Oct-12,96.97379
Slovenia,Nov-12,97.22823
Slovenia,Dec-12,97.6356
Slovenia,Jan-13,97.9241
Slovenia,Feb-13,98.17038
Slovenia,Mar-13,98.29057
